 table_schema |             table_name             | rows_n 
 table_schema |             table_name             | rows_n 
--------------+------------------------------------+--------
 terep        | cpginventory                       |  18376
 terep        | p87_1781_moft_toft_revised         |  17370
 terep        | distributorinventory               |  13596
 terep        | distributorsales                   |   5525
 terep        | p11_1781_ftracking_sit_new         |   2640
 terep        | p11_1781_ftracking_sit_moft        |   2640
 terep        | p11_1781_ftracking_depletion_moft  |   2436
 terep        | p11_1781_ftracking_depletion_new   |   2426
 terep        | p12_1781_bonded_channel_depletion  |   2345
 terep        | p11_1781_ftracking_shipment_new    |   1540
 terep        | p11_1781_ftracking_shipments_moft  |   1540
 terep        | distretlmapping                    |   1205
 terep        | p12_1781_hastar_sit                |    954
 terep        | p12_1781_hastar_depletion          |    901
 terep        | p12_1781_hastar_shipments          |    795
 terep        | p10_1781_toft_moft_mapping_revised |    778
 terep_cstm   | diageo_vn_prod_mstr                |    657
 tenopr       | file_process_errors                |    650
 terep        | p87_1781_soh_golden_phoenix        |    565
 terep        | p86_1781_detailsku_distributor     |    444
 terep        | cpgmaster                          |    444
 terep        | p10_1781_ftracking_mapping         |    427
 terep        | p12_1781_bonded_channel_shipments  |    265
 terep        | p12_1781_bonded_channel_sit        |    265
 tenopr_bkp   | file_process_errors_bkp            |    225
 tenopr_bkp   | file_metrics_bkp                   |    225
 terep        | p87_1781_detailskumoft             |    221
 terep        | p87_1781_ftracking_sit             |    220
 terep        | p11_1781_ftracking_depletion       |    220
 terep        | p11_1781_bonded_ivantos_soh        |    154
 tenopr_bkp   | extraction_audit_bkp               |    129
 tenopr_bkp   | file_transaction_dates_bkp         |    109
 tenopr       | extraction_audit                   |     99
 terep        | p9_1781_mapping                    |     69
 terep        | distprodmapping                    |     69
 tenopr       | extraction_log                     |     11
 tenopr_bkp   | extraction_log_bkp                 |      1
 terep        | salesrepmapping                    |      0
 terep        | distributorgrn                     |      0
 terep        | miscentity2                        |      0
 terep        | prodhierarchy                      |      0
 terep        | promotionmaster                    |      0
 terep        | currencymaster                     |      0
 terep        | locationtaxes                      |      0
 terep        | employeemaster                     |      0
 terep        | miscentity1                        |      0
 terep        | produommaster                      |      0
 terep        | cpgsales                           |      0
 terep        | retailerpos                        |      0
 terep        | locationmaster                     |      0
 terep        | distributormaster                  |      0
 terep        | retailermaster                     |      0
 terep        | productmaster                      |      0
 terep        | productpricelist                   |      0
 terep        | distributorordercut                |      0
 terep        | distributororders                  |      0
 terep        | cpgorders                          |      0
 terep        | distributorsalestarget             |      0
 terep        | cpgordercut                        |      0
 terep        | cpgemployee                        |      0
 terep        | retailersalestarget                |      0
 terep        | batchmaster                        |      0
 terep        | productlifecycle                   |      0
 terep        | regionmaster                       |      0
 terep        | territorymaster                    |      0
 terep        | salesteammaster                    |      0
 terep        | saleshierarchy                     |      0
 terep_dirty  | uommaster_dirty                    |      0
 terep_dirty  | uomconversionmaster_dirty          |      0
 terep_dirty  | prodhierarchy_dirty                |      0
 terep_dirty  | distprodmapping_dirty              |      0
 terep_dirty  | produommaster_dirty                |      0
 terep_dirty  | distributorreturns_dirty           |      0
 terep_dirty  | promotionmaster_dirty              |      0
 terep_dirty  | channelmaster_dirty                |      0
 terep_dirty  | taxmaster_dirty                    |      0
 terep_dirty  | produommaster_dirty_dirty          |      0
 terep_dirty  | salesrepmapping_dirty              |      0
 terep_dirty  | employeemaster_dirty               |      0
 tenopr       | audit_log                          |      0
 terep_dirty  | geomapping_dirty                   |      0
 terep_dirty  | miscentity1_dirty                  |      0
 terep_dirty  | locationtaxes_dirty                |      0
 terep_dirty  | distributorgrn_dirty               |      0
 terep_dirty  | distretlmapping_dirty              |      0
 terep_dirty  | distributorsales_dirty             |      0
 terep_dirty  | cpgsales_dirty                     |      0
 terep_dirty  | retailerpos_dirty                  |      0
 terep_dirty  | distributorinventory_dirty         |      0
 terep_dirty  | locationmaster_dirty               |      0
 terep_dirty  | distributormaster_dirty            |      0
 terep_dirty  | retailermaster_dirty               |      0
 terep_dirty  | productmaster_dirty                |      0
 terep_dirty  | productpricelist_dirty             |      0
 terep_dirty  | distributorordercut_dirty          |      0
 terep_dirty  | distributororders_dirty            |      0
 terep_dirty  | cpgorders_dirty                    |      0
 terep_dirty  | distributorsalestarget_dirty       |      0
 terep_dirty  | cpgmaster_dirty                    |      0
 terep_dirty  | cpginventory_dirty                 |      0
 terep_dirty  | cpgordercut_dirty                  |      0
 terep_dirty  | cpgemployee_dirty                  |      0
 terep_dirty  | retailersalestarget_dirty          |      0
 terep_dirty  | batchmaster_dirty                  |      0
 terep_dirty  | productlifecycle_dirty             |      0
 terep_dirty  | regionmaster_dirty                 |      0
 terep_dirty  | territorymaster_dirty              |      0
 terep_dirty  | salesteammaster_dirty              |      0
 terep_dirty  | saleshierarchy_dirty               |      0
 terep_dirty  | currencymaster_dirty               |      0
 tenopr       | business_param_chkpnt_val          |      0
 tenopr       | emails                             |      0
 tenopr       | file_metrics                       |      0
 tenopr       | file_transaction_dates             |      0
 tenopr       | linechecksum                       |      0
 tenopr       | subscribers_subscription_audit     |      0
 tenopr       | subscription_audit                 |      0
 terep        | uomconversionmaster                |      0
 terep        | taxmaster                          |      0
 terep_dirty  | miscentity2_dirty                  |      0
 terep_dirty  | calendarmaster_dirty               |      0
 terep_dirty  | geohierarchy_dirty                 |      0
 terep        | merchandise                        |      0
 terep        | salesrepperformance                |      0
 terep_dirty  | merchandise_dirty                  |      0
 terep_dirty  | salesrepperformance_dirty          |      0
 terep_dirty  | partnervisit_dirty                 |      0
 terep        | partnervisit                       |      0
 tenopr_bkp   | audit_anomaly_log_bkp              |      0
 tenopr_bkp   | audit_log_bkp                      |      0
 tenopr_bkp   | audit_log_json_bkp                 |      0
 tenopr_bkp   | audit_log_stat_bkp                 |      0
 tenopr_bkp   | business_param_chkpnt_val_bkp      |      0
 tenopr_bkp   | emails_bkp                         |      0
 tenopr_bkp   | linechecksum_bkp                   |      0
 tenopr_bkp   | subscribers_subscription_audit_bkp |      0
 tenopr_bkp   | subscription_audit_bkp             |      0
 tenopr       | audit_log_json                     |      0
 tenopr       | audit_log_stat                     |      0
 tenopr       | audit_anomaly_log                  |      0
 terep        | uommaster                          |      0
 terep        | calendarmaster                     |      0
 terep        | geohierarchy                       |      0
 terep        | distributorreturns                 |      0
 terep        | channelmaster                      |      0
 terep        | geomapping                         |      0
(146 rows)

 table_schema |                table_name                 | rows_n 
--------------+-------------------------------------------+--------
 terep        | distributorsales                          |  11799
 terep        | p12_2038_liberia_ift_depletion            |   9772
 terep        | p12_2038_depl_mali_bramali                |   2027
 terep        | cpgmaster                                 |   1234
 terep        | p86_2038                                  |   1234
 terep        | cpginventory                              |   1010
 terep        | p87_2038_pem_africa_stk_drum              |   1010
 terep        | distributorinventory                      |    850
 terep        | p11_2038_soh_mali_bramali_stockupc        |    542
 terep        | p11_2038_soh_mali_bramali_stockbko        |    294
 tenopr       | extraction_audit                          |    274
 tenopr       | extraction_log                            |     18
 tenopr       | emails                                    |     16
 terep        | p11_2038_liberia_ift_soh                  |     14
 terep_cstm   | pem_monthly_schedule_report_ext           |     12
 tenopr       | file_process_errors                       |      4
 terep_cstm   | pem_monthly_schedule_report_ext_cross_soh |      3
 terep_cstm   | pem_monthly_schedule_report_ext_cross     |      3
 terep_cstm   | diageo_bramali_soh_ext                    |      2
 terep        | salesrepmapping                           |      0
 terep        | distributorgrn                            |      0
 terep        | miscentity2                               |      0
 terep        | distretlmapping                           |      0
 terep        | prodhierarchy                             |      0
 terep        | promotionmaster                           |      0
 terep        | currencymaster                            |      0
 terep        | locationtaxes                             |      0
 terep        | employeemaster                            |      0
 terep        | miscentity1                               |      0
 terep        | produommaster                             |      0
 terep        | cpgsales                                  |      0
 terep        | retailerpos                               |      0
 terep        | locationmaster                            |      0
 terep        | distributormaster                         |      0
 terep        | retailermaster                            |      0
 terep        | productmaster                             |      0
 terep        | productpricelist                          |      0
 terep        | distributorordercut                       |      0
 terep        | distributororders                         |      0
 terep        | cpgorders                                 |      0
 terep        | distributorsalestarget                    |      0
 terep        | cpgordercut                               |      0
 terep        | cpgemployee                               |      0
 terep        | retailersalestarget                       |      0
 terep        | batchmaster                               |      0
 terep        | productlifecycle                          |      0
 terep        | regionmaster                              |      0
 terep        | territorymaster                           |      0
 terep        | salesteammaster                           |      0
 terep        | saleshierarchy                            |      0
 terep        | merchandise                               |      0
 terep        | salesrepperformance                       |      0
 terep        | partnervisit                              |      0
 terep_cstm   | diageo_africa_sales_summary_report_ext    |      0
 terep_dirty  | batchmaster_dirty                         |      0
 terep_dirty  | productlifecycle_dirty                    |      0
 terep_dirty  | regionmaster_dirty                        |      0
 terep_dirty  | territorymaster_dirty                     |      0
 terep_dirty  | salesteammaster_dirty                     |      0
 terep_dirty  | saleshierarchy_dirty                      |      0
 terep_dirty  | merchandise_dirty                         |      0
 terep_dirty  | salesrepperformance_dirty                 |      0
 terep_dirty  | partnervisit_dirty                        |      0
 terep_dirty  | miscentity2_dirty                         |      0
 terep_dirty  | calendarmaster_dirty                      |      0
 terep_dirty  | geohierarchy_dirty                        |      0
 terep_dirty  | uommaster_dirty                           |      0
 terep_dirty  | uomconversionmaster_dirty                 |      0
 terep_dirty  | prodhierarchy_dirty                       |      0
 terep_dirty  | distprodmapping_dirty                     |      0
 terep_dirty  | produommaster_dirty                       |      0
 terep_dirty  | distributorreturns_dirty                  |      0
 terep_dirty  | promotionmaster_dirty                     |      0
 terep_dirty  | channelmaster_dirty                       |      0
 terep_dirty  | taxmaster_dirty                           |      0
 terep_dirty  | produommaster_dirty_dirty                 |      0
 terep_dirty  | salesrepmapping_dirty                     |      0
 terep_dirty  | employeemaster_dirty                      |      0
 terep_dirty  | currencymaster_dirty                      |      0
 terep_dirty  | geomapping_dirty                          |      0
 terep_dirty  | miscentity1_dirty                         |      0
 terep_dirty  | locationtaxes_dirty                       |      0
 terep_dirty  | distributorgrn_dirty                      |      0
 terep_dirty  | distretlmapping_dirty                     |      0
 terep_dirty  | distributorsales_dirty                    |      0
 terep_dirty  | cpgsales_dirty                            |      0
 terep_dirty  | retailerpos_dirty                         |      0
 terep_dirty  | distributorinventory_dirty                |      0
 terep_dirty  | locationmaster_dirty                      |      0
 terep_dirty  | distributormaster_dirty                   |      0
 terep_dirty  | retailermaster_dirty                      |      0
 terep_dirty  | productmaster_dirty                       |      0
 terep_dirty  | productpricelist_dirty                    |      0
 terep_dirty  | distributorordercut_dirty                 |      0
 terep_dirty  | distributororders_dirty                   |      0
 terep_dirty  | cpgorders_dirty                           |      0
 terep_dirty  | distributorsalestarget_dirty              |      0
 terep_dirty  | cpgmaster_dirty                           |      0
 terep_dirty  | cpginventory_dirty                        |      0
 terep_dirty  | cpgordercut_dirty                         |      0
 terep_dirty  | cpgemployee_dirty                         |      0
 terep_dirty  | retailersalestarget_dirty                 |      0
 tenopr_bkp   | audit_anomaly_log_bkp                     |      0
 tenopr_bkp   | audit_log_bkp                             |      0
 tenopr_bkp   | audit_log_json_bkp                        |      0
 tenopr_bkp   | audit_log_stat_bkp                        |      0
 tenopr_bkp   | business_param_chkpnt_val_bkp             |      0
 tenopr_bkp   | emails_bkp                                |      0
 tenopr_bkp   | extraction_audit_bkp                      |      0
 tenopr_bkp   | extraction_log_bkp                        |      0
 tenopr_bkp   | file_metrics_bkp                          |      0
 tenopr_bkp   | file_process_errors_bkp                   |      0
 tenopr_bkp   | file_transaction_dates_bkp                |      0
 tenopr_bkp   | linechecksum_bkp                          |      0
 tenopr_bkp   | subscribers_subscription_audit_bkp        |      0
 tenopr       | audit_log                                 |      0
 tenopr_bkp   | subscription_audit_bkp                    |      0
 tenopr       | business_param_chkpnt_val                 |      0
 tenopr       | file_metrics                              |      0
 tenopr       | file_transaction_dates                    |      0
 tenopr       | linechecksum                              |      0
 tenopr       | subscribers_subscription_audit            |      0
 tenopr       | subscription_audit                        |      0
 tenopr       | audit_log_json                            |      0
 tenopr       | audit_log_stat                            |      0
 tenopr       | audit_anomaly_log                         |      0
 terep        | uomconversionmaster                       |      0
 terep        | taxmaster                                 |      0
 terep        | uommaster                                 |      0
 terep        | calendarmaster                            |      0
 terep        | geohierarchy                              |      0
 terep        | distributorreturns                        |      0
 terep        | distprodmapping                           |      0
 terep        | channelmaster                             |      0
 terep        | geomapping                                |      0
(135 rows)

 table_schema |             table_name             | rows_n 
--------------+------------------------------------+--------
 terep        | distributorsales                   |   3635
 terep        | p12_2039_depl_gabon_cecagadis      |   1784
